baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PF3D7_1314600	40.2001510324932	-1.75700047820992	0.51645285711464	-3.40205394162415	0.000668814355677683	0.00425557020026914
PF3D7_0209400	252.409919572858	-0.560645534066511	0.252672621899767	-2.21886142571044	0.0264961535189148	0.0810534806134936
PF3D7_0507200	45.625483596667	0.0515249913924992	0.45864146257937	0.112342637106392	0.910551736236236	0.94492018480806
PF3D7_0806000	66.5021564444759	-0.275711073525981	0.394238844641428	-0.699350348839289	0.484333108942084	0.647230623230736
PF3D7_1006800	1081.75807349105	0.000851542783207442	0.212137249827569	0.00401411248566483	0.996797210223509	0.998044438046259
PF3D7_0412000	375.856884751733	0.753861614047068	0.242843726312314	3.10430755405865	0.00190724958889844	0.0100293856776312
PF3D7_0732200	26.5660688554104	5.07904320037234	1.0047045282903	5.05526058394034	4.29803505451231e-07	6.33889011019796e-06
PF3D7_1227500	387.045676870963	-0.104304056954425	0.23186211336654	-0.449853818029922	0.652815849125691	0.776613726497283
PF3D7_0301800	81.011186313539	3.89948701295357	0.466256671805	8.36339134377992	6.0940651412866e-17	4.84695823915902e-15
PF3D7_0920900	176.764591573763	-0.383893340818266	0.300519052694652	-1.27743428370356	0.201448967485171	0.35890148047158
PF3D7_1443600	28.3269754944101	-0.321609524435422	0.56429547319262	-0.569931072839994	0.568724448762583	0.718406569549842
PF3D7_0415900	2835.71292341063	-0.491054279909577	0.189494320533652	-2.59139312738596	0.00955882263472752	0.0369254085126421
PF3D7_0214100	1286.62572549633	-0.629606668908276	0.21928943176172	-2.87112180395637	0.00409017887747901	0.0187617473947389
PF3D7_0726100	18.3911646889044	1.81391698698836	0.72855110271279	2.48975944204074	0.0127829583179482	0.0464398828288264
PF3D7_0717700	1299.42277323538	-0.298369292862407	0.190503008431365	-1.56621827297758	0.117297526265102	0.247134901601118
PF3D7_1322800	40.8824076169583	-1.33015447919845	0.50245552868635	-2.64730787752716	0.00811354477589735	0.0324105187729568
PF3D7_1106700	95.5713088409723	-0.250101586654677	0.341298650699656	-0.732793950816896	0.463684111350095	0.629209522567448
PF3D7_0621100	147.311403066373	-0.371203616725984	0.308944544396545	-1.20152183768465	0.229548840709798	0.395669712276098
PF3D7_0909100	14.1060301214153	-0.464309418616003	0.801744922789467	-0.579123615776146	0.562505766316709	0.713586067551872
PF3D7_1028500	137.034049233988	0.371495019529645	0.297186529305778	1.25003990052123	0.211284972109772	0.37141637765426
PF3D7_1342400	837.621902505518	-0.6072073353164	0.219440511004863	-2.76707036697952	0.005656254489264	0.0242473123149007
PF3D7_1419100	86.7683298092358	0.718135113982742	0.350435857696665	2.04926264881363	0.040436438919391	0.112494627699542
PF3D7_1448500	420.981180887471	0.382159869556603	0.228273183329636	1.67413387758626	0.0941042910536089	0.209947507625596
PF3D7_1125000	413.978887737268	0.476225258195148	0.2499617873455	1.90519224259228	0.0567550862169788	0.143792465307408
PF3D7_1468000	13.5449565157695	0.852396759522252	0.795345096510492	1.07173196045599	0.283840441205805	0.460367495336622
PF3D7_0500900	66.7047073106718	-0.127992695757703	0.387637780619256	-0.330186328982778	0.741259176016418	0.840190879722776
PF3D7_1207600	66.8308317756379	0.445883973513715	0.4016916974528	1.11001540818779	0.26699238690264	0.440112543029001
PF3D7_0722200	144.203214951599	-0.476922601942486	0.31156210629139	-1.5307464942365	0.125832058006717	0.26031397415788
PF3D7_0515900	92.6763130996575	-0.228298259040516	0.369205192736013	-0.618350617846679	0.536344242164669	0.691826601390511
PF3D7_0319500	254.292090646411	0.551554369258104	0.258938349916378	2.13006057015588	0.0331666130745897	0.0970591948976494
PF3D7_1450000	101.664778549491	1.13889497595672	0.349023579321728	3.26308892416376	0.00110204934416148	0.00642477457970581
PF3D7_1443900	328.793678737616	0.600162955981926	0.235175394886398	2.55198022000488	0.0107112599575172	0.0402598749795626
PF3D7_1470100	71.9992510966673	-0.850497721637344	0.396199887028371	-2.1466379710917	0.0318221145084134	0.0938647006758102
PF3D7_0519700	388.408688559276	-0.114678689390519	0.2303225797659	-0.497904675725146	0.618551231543474	0.753790368229015
PF3D7_1469700	92.6297446389249	0.158987711750706	0.349597608756921	0.454773453159548	0.649272230556106	0.774884109845318
PF3D7_1455700	173.994595612502	0.857977037920125	0.284769368969071	3.01288386818496	0.00258777925058821	0.0128781774101898
PF3D7_0532200	64.3844751367741	1.17077023288206	0.409462558873173	2.85928519595046	0.00424596866247398	0.0193369574873815
PF3D7_0508700	252.597084208911	1.26288242771243	0.255236124242952	4.94789846640331	7.50190207550968e-07	1.05073810831195e-05
PF3D7_1227400	93.8086271784937	0.336689620727769	0.342513900588414	0.982995493465696	0.32560965663167	0.504269057263899
PF3D7_1126200	2013.94175980607	-0.72008627894742	0.192276769552275	-3.74505084844193	0.000180357243117091	0.00136850282937568
PF3D7_1242500	71.3920469485604	-0.590756203053759	0.459515251179756	-1.28560739069499	0.198580116097649	0.355783665485283
PF3D7_0806700	169.060542274104	0.332863864133339	0.286251767475856	1.16283601344545	0.244896042467127	0.41411046816575
PF3D7_0303500	77.9587557817562	0.513734361230246	0.379899466682354	1.3522902933154	0.176282468351198	0.328794855124053
PF3D7_0911100	91.1952495056079	2.49710705453105	0.377623094194827	6.61269687399659	3.77380718040593e-11	1.26379978808481e-09
